uri,notation,label_fi,label_sv,label_en
http://www.yso.fi/onto/yso/p17883,,folkloristiikka,folkloristik,folkloristics
http://www.yso.fi/onto/yso/p17884,,kurki (laji),trana (art),common crane
http://www.yso.fi/onto/yso/p17885,,kassavirta,cash flow,cash flow
http://www.yso.fi/onto/yso/p17886,,vesistövaikutukset,effekter på vattendrag,effects on waterways
http://www.yso.fi/onto/yso/p17887,,avantouinti,vinterbad,winter swimming
http://www.yso.fi/onto/yso/p17888,,emali,emalj,enamel
http://www.yso.fi/onto/yso/p17889,,ranskankielinen kirjallisuus,fransk litteratur,French language literature
http://www.yso.fi/onto/yso/p1789,,lumikko,småvessla,European common weasel
http://www.yso.fi/onto/yso/p17890,,newfoundlandinkoira,newfoundlandshund,Newfoundland dog
http://www.yso.fi/onto/yso/p17891,,merivallat,sjömakter,sea powers
http://www.yso.fi/onto/yso/p17892,,linja-autoliikenne,busstrafik,bus traffic
http://www.yso.fi/onto/yso/p17893,,Vehmaa (Juva),Wehmais gård,Vehmaa manor (Juva)
http://www.yso.fi/onto/yso/p17894,,aktivointi,aktivering,activation
http://www.yso.fi/onto/yso/p17895,,tapaturmavakuutus,olycksfallsförsäkring,accident insurance
http://www.yso.fi/onto/yso/p17896,,housut,byxor,trousers
http://www.yso.fi/onto/yso/p17897,,perusturva,grundtrygghet (utkomstskydd),basic security
http://www.yso.fi/onto/yso/p17898,,CLICAL,CLICAL,CLICAL
http://www.yso.fi/onto/yso/p17899,,molekyyligenetiikka,molekylärgenetik,molecular genetics
http://www.yso.fi/onto/yso/p179,,rumbat (sävellykset),rumbor (kompositioner),rumba (dance music)
http://www.yso.fi/onto/yso/p1790,,pienpedot,små rovdjur,small predators
http://www.yso.fi/onto/yso/p17900,,aavikkoilmasto,ökenklimat,desert climate
http://www.yso.fi/onto/yso/p17902,,Petäjäveden vanha kirkko,Petäjävesi gamla kyrka,Petäjävesi Old Church
http://www.yso.fi/onto/yso/p17903,,kalliomekaniikka,bergmekanik,rock mechanics
http://www.yso.fi/onto/yso/p17904,,maamekaniikka,jordmekanik,soil mechanics
http://www.yso.fi/onto/yso/p17905,,tullilaitos,tullverket,customs (organisations)
http://www.yso.fi/onto/yso/p17906,,erityisnuorisotyö,specialungdomsarbete,specialised youth work
http://www.yso.fi/onto/yso/p17907,,formaalinen logiikka,formell logik,formal logic
http://www.yso.fi/onto/yso/p1791,,näätäeläimet,mårddjur,mustelids
http://www.yso.fi/onto/yso/p17910,,legionelloosi,legionellos,legionellosis
http://www.yso.fi/onto/yso/p17911,,kiinteistörahastot,fastighetsfonder,real property investments trusts
http://www.yso.fi/onto/yso/p17912,,aluemaantiede,regionalgeografi,regional geography
